transaction_id,user_id,amount,transaction_type,account_age_days,country,device_type,ip_address_risk,time_of_day,num_prev_transactions,avg_transaction_value,is_foreign_transaction,is_high_risk_country,is_vpn_used,login_attempts,device_trust_score,payment_gateway,browser_fingerprint_score,session_duration_sec,fraudulent
TXN00001,U1867,117.32,Deposit,5,China,Desktop,82,Morning,541,588.49,1,0,1,3,54,Razorpay,24,27,1
TXN00002,U0960,752.53,Transfer,3510,Canada,Mobile,79,Afternoon,16,782.26,1,1,1,1,12,Razorpay,1,1436,1
TXN00003,U2645,329.19,Refund,3238,Brazil,Tablet,39,Evening,463,1832.92,0,0,1,9,5,Razorpay,49,974,0
TXN00004,U1383,228.24,Bill Payment,3518,India,Desktop,86,Afternoon,297,1042.07,1,0,0,7,28,PayPal,26,967,1
TXN00005,U2512,42.41,Withdrawal,2073,Nigeria,Tablet,3,Afternoon,592,4674.77,0,0,1,9,1,Razorpay,49,527,0
TXN00006,U0778,42.4,Withdrawal,2556,UK,Desktop,84,Morning,875,3265.75,1,1,0,9,48,Razorpay,35,832,1
TXN00007,U2659,14.96,Withdrawal,98,India,Tablet,23,Night,395,2594.23,1,0,0,9,67,Razorpay,18,1062,1
TXN00008,U0709,502.81,Bill Payment,1292,Australia,Desktop,41,Night,26,53.57,1,0,1,5,83,Razorpay,25,1300,0
TXN00009,U2440,229.77,Payment,2710,USA,Tablet,25,Afternoon,182,522.57,0,1,0,7,48,Razorpay,32,158,0
TXN00010,U1886,307.81,Bill Payment,3465,France,Mobile,65,Evening,515,3943.45,1,1,0,6,7,Square,3,759,1
TXN00011,U0236,5.2,Payment,1788,India,Desktop,7,Morning,674,1951.77,0,1,1,6,53,PayPal,65,943,0
TXN00012,U0716,875.89,Withdrawal,1309,USA,Desktop,72,Night,448,232.24,0,1,0,3,1,Square,29,919,1
TXN00013,U1005,446.61,Deposit,684,Canada,Tablet,65,Afternoon,331,4128.67,1,1,1,6,3,Razorpay,72,928,1
TXN00014,U2245,59.67,Deposit,1133,France,Desktop,77,Evening,924,1516.72,0,1,0,6,81,Stripe,65,1460,0
TXN00015,U0033,50.17,Payment,27,Brazil,Mobile,19,Morning,583,1934.55,1,1,0,5,45,Razorpay,55,362,1
TXN00016,U1396,50.65,Withdrawal,1782,China,Tablet,65,Night,455,4871.97,0,1,1,4,32,PayPal,92,952,1
TXN00017,U0362,90.69,Bill Payment,2103,Canada,Tablet,67,Night,587,82.49,1,0,1,5,9,Razorpay,9,1924,1
TXN00018,U1744,185.98,Deposit,3205,France,Tablet,98,Night,419,3608.02,1,0,1,7,60,Square,39,1625,1
TXN00019,U2476,141.38,Payment,3124,Canada,Mobile,54,Evening,239,4744.68,0,1,1,4,56,Razorpay,71,755,0
TXN00020,U0241,86.06,Bill Payment,3565,Brazil,Mobile,77,Evening,511,323.98,1,0,0,9,81,PayPal,56,341,1
TXN00021,U2313,236.59,Withdrawal,781,USA,Desktop,84,Evening,289,4331.05,1,0,1,4,82,PayPal,48,54,1
TXN00022,U2216,37.56,Transfer,2346,France,Tablet,78,Afternoon,803,2084.13,0,0,1,9,94,Razorpay,65,1907,1
TXN00023,U2051,86.38,Withdrawal,3471,Australia,Mobile,38,Morning,438,4390.59,1,0,0,9,78,Razorpay,92,1326,0
TXN00024,U0834,114.07,Withdrawal,1615,Nigeria,Desktop,49,Afternoon,771,1544.83,1,1,1,7,51,Square,18,85,1
TXN00025,U0994,152.23,Bill Payment,1042,India,Mobile,19,Morning,522,4913.4,1,1,0,7,97,PayPal,20,570,1
TXN00026,U1464,384.48,Bill Payment,2866,China,Mobile,69,Evening,570,3237.01,1,1,0,1,51,Square,71,332,1
TXN00027,U0919,55.68,Refund,1794,Germany,Mobile,27,Night,258,3137.32,1,1,0,2,83,PayPal,55,91,1
TXN00028,U2126,180.51,Refund,855,UK,Desktop,42,Evening,713,4030.49,1,0,0,3,31,Razorpay,60,1823,0
TXN00029,U1574,224.38,Bill Payment,1643,USA,Mobile,65,Afternoon,267,2185.75,0,1,0,3,51,PayPal,23,1538,0
TXN00030,U1704,11.89,Bill Payment,1933,Nigeria,Mobile,27,Evening,112,1297.05,1,0,1,3,27,Razorpay,95,770,1
TXN00031,U1335,233.83,Transfer,2027,UK,Mobile,97,Evening,584,1318.34,0,1,1,9,25,Square,14,1331,1
TXN00032,U0270,46.74,Transfer,1988,Germany,Tablet,77,Evening,404,1656.37,0,1,0,2,38,Square,5,1310,0
TXN00033,U0077,16.82,Withdrawal,2607,France,Mobile,72,Night,993,3088.68,1,0,0,1,17,Razorpay,81,494,1
TXN00034,U0361,743.42,Deposit,1270,Canada,Tablet,22,Morning,917,4192.76,1,0,0,1,10,Stripe,42,1111,0
TXN00035,U2060,842.66,Transfer,2551,Nigeria,Mobile,34,Morning,401,2500.39,1,0,1,6,73,Stripe,76,422,1
TXN00036,U1883,413.08,Withdrawal,1113,China,Tablet,21,Afternoon,235,2020.22,1,1,0,7,61,Razorpay,68,386,1
TXN00037,U2250,90.82,Payment,2251,Brazil,Mobile,4,Morning,5,3970.27,0,1,1,2,1,PayPal,43,1939,1
TXN00038,U2214,25.69,Refund,2994,Australia,Tablet,59,Evening,600,1451.89,0,0,1,2,34,PayPal,79,8,0
TXN00039,U2324,288.19,Deposit,240,India,Tablet,40,Night,113,3446.73,0,1,1,8,41,Stripe,19,773,1
TXN00040,U1991,145.02,Withdrawal,490,Canada,Tablet,28,Evening,364,533.5,1,0,0,7,96,Stripe,2,1136,0
TXN00041,U1393,32.54,Bill Payment,1037,USA,Mobile,34,Evening,846,570.63,0,0,1,4,13,Razorpay,4,608,1
TXN00042,U0897,170.89,Payment,2697,UK,Desktop,97,Afternoon,320,3222.06,1,1,1,7,8,Razorpay,40,428,1
TXN00043,U1442,8.75,Refund,1339,USA,Tablet,67,Evening,310,418.34,1,1,0,4,6,PayPal,73,718,0
TXN00044,U2287,600.11,Payment,2037,USA,Tablet,44,Evening,167,779.48,1,0,0,5,22,Stripe,80,608,1
TXN00045,U2444,74.86,Withdrawal,685,Nigeria,Tablet,8,Afternoon,849,3123.72,1,1,1,8,56,Stripe,30,577,1
TXN00046,U1085,271.56,Transfer,3270,Brazil,Tablet,50,Morning,51,2193.83,0,1,1,4,70,PayPal,93,424,1
TXN00047,U2249,93.39,Refund,2027,UK,Tablet,13,Morning,887,2808.68,1,0,1,7,64,Square,77,1430,0
TXN00048,U0625,183.53,Payment,2291,UK,Desktop,68,Morning,299,4884.83,0,0,1,2,19,PayPal,77,1388,1
TXN00049,U2984,197.81,Transfer,2555,UK,Mobile,55,Afternoon,862,3161.65,1,0,0,2,56,Stripe,46,1415,1
TXN00050,U2450,51.1,Deposit,3115,USA,Desktop,90,Afternoon,61,2956.3,1,1,1,9,53,Square,92,687,1
TXN00051,U1286,873.2,Withdrawal,3402,Nigeria,Mobile,10,Night,83,1903.79,1,1,1,8,45,Razorpay,68,306,1
TXN00052,U2914,373.06,Withdrawal,1615,USA,Desktop,29,Night,747,3156.23,1,0,0,3,98,Square,3,1534,0
TXN00053,U2757,701.27,Refund,3501,Australia,Mobile,38,Evening,984,69.93,0,1,0,7,37,Razorpay,95,1748,0
TXN00054,U2396,563.04,Payment,1768,Australia,Tablet,97,Evening,352,2788.81,0,1,1,1,46,Square,26,544,1
TXN00055,U1159,227.76,Deposit,613,UK,Mobile,23,Afternoon,841,349.14,0,1,1,4,7,Razorpay,96,325,0
TXN00056,U2216,637.36,Bill Payment,162,Brazil,Mobile,79,Afternoon,668,1104.76,0,0,1,4,94,PayPal,79,1080,0
TXN00057,U1782,23.16,Refund,656,Brazil,Tablet,57,Night,502,2817.79,1,0,0,8,18,Square,70,595,1
TXN00058,U1342,54.53,Bill Payment,3007,UK,Tablet,29,Evening,658,3341.41,0,1,1,4,68,PayPal,76,16,1
TXN00059,U1251,11.57,Refund,621,France,Mobile,23,Evening,923,1927.06,1,0,0,9,44,Stripe,86,356,1
TXN00060,U1435,98.38,Payment,3507,China,Mobile,66,Evening,889,2097.8,0,1,0,7,33,PayPal,70,29,1
TXN00061,U0451,123.03,Deposit,1257,UK,Tablet,28,Morning,474,2492.62,0,0,0,5,43,Stripe,37,1280,0
TXN00062,U0805,79.14,Payment,2159,Nigeria,Desktop,41,Night,634,3796.58,0,1,0,8,79,PayPal,79,1779,1
TXN00063,U0052,441.14,Withdrawal,1952,Nigeria,Tablet,75,Morning,914,93.05,0,0,1,4,6,Stripe,86,680,0
TXN00064,U2360,110.31,Bill Payment,2982,Nigeria,Mobile,61,Evening,502,2238.1,0,1,1,6,20,Square,99,1515,1
TXN00065,U1511,82.45,Transfer,1256,UK,Mobile,26,Afternoon,798,76.3,0,0,1,5,43,Razorpay,83,1769,1
TXN00066,U1484,195.6,Withdrawal,1976,Nigeria,Mobile,28,Night,693,1599.11,1,1,0,3,24,Razorpay,22,665,1
TXN00067,U2817,37.97,Withdrawal,750,Nigeria,Tablet,65,Morning,98,2601.64,0,1,0,8,46,Square,47,259,1
TXN00068,U0368,405.12,Bill Payment,709,Germany,Tablet,56,Evening,701,404.2,1,0,1,6,1,Razorpay,77,242,1
TXN00069,U2073,19.37,Refund,2321,Germany,Desktop,60,Morning,909,2428.64,0,1,0,4,63,Square,35,526,0
TXN00070,U2214,1083.54,Withdrawal,1622,India,Mobile,28,Afternoon,305,4623.25,1,0,1,1,71,Stripe,45,978,0
TXN00071,U1266,369.87,Deposit,2855,France,Mobile,56,Night,762,3428.28,1,1,0,1,82,Square,3,451,1
TXN00072,U1443,55.38,Withdrawal,41,Canada,Tablet,72,Afternoon,314,3912.35,0,1,0,3,82,Square,62,1591,1
TXN00073,U1155,1.38,Deposit,560,USA,Mobile,54,Afternoon,709,2904.17,1,1,1,8,52,Square,33,1311,1
TXN00074,U2674,422.47,Payment,466,Nigeria,Desktop,43,Night,441,4482.31,0,0,0,8,52,Square,81,1046,1
TXN00075,U0349,306.77,Refund,1101,India,Tablet,27,Evening,246,738.61,0,1,0,2,64,Stripe,84,1465,0
TXN00076,U1701,326.42,Deposit,1714,Australia,Mobile,36,Evening,264,2251.68,1,1,1,1,27,Razorpay,28,758,1
TXN00077,U0337,368.8,Withdrawal,490,Brazil,Tablet,22,Morning,568,2987.18,1,0,1,5,77,PayPal,86,508,0
TXN00078,U0731,19.23,Refund,117,Canada,Tablet,76,Evening,424,4368.01,0,1,0,1,22,Stripe,53,187,1
TXN00079,U1125,110.97,Refund,2482,India,Desktop,68,Evening,794,1543.51,1,0,0,8,7,Square,80,1254,1
TXN00080,U1336,30.79,Deposit,3091,Brazil,Tablet,95,Evening,57,10.63,0,0,1,9,34,PayPal,61,463,1
TXN00081,U2574,497.13,Deposit,3042,UK,Mobile,91,Morning,848,4872.2,1,1,0,2,94,Razorpay,18,1875,1
TXN00082,U2914,244.08,Transfer,1595,France,Desktop,57,Night,483,134.76,1,1,0,4,22,Square,83,649,1
TXN00083,U2567,100.45,Transfer,196,Germany,Tablet,78,Evening,323,766.07,0,1,0,6,45,Razorpay,28,809,0
TXN00084,U2152,16.42,Refund,619,UK,Mobile,87,Afternoon,185,2113.12,1,1,0,7,70,PayPal,60,312,1
TXN00085,U1565,93.12,Bill Payment,1475,UK,Tablet,31,Evening,791,2484.37,0,0,1,5,1,Stripe,86,235,1
TXN00086,U0468,98.33,Bill Payment,2473,India,Tablet,84,Evening,498,4173.16,0,1,1,1,82,Square,26,230,1
TXN00087,U1044,326.97,Transfer,3466,France,Desktop,68,Night,847,2241.85,0,1,1,7,91,PayPal,17,1914,1
TXN00088,U1136,253.72,Withdrawal,1308,China,Desktop,35,Afternoon,61,2739.41,0,0,0,7,37,Razorpay,91,1344,0
TXN00089,U1580,545.56,Payment,34,Nigeria,Desktop,91,Morning,592,1004.0,0,0,1,5,35,PayPal,8,285,1
TXN00090,U1700,159.77,Refund,2343,France,Desktop,31,Evening,962,2847.95,1,0,1,2,51,Square,88,1919,1
TXN00091,U0246,31.84,Payment,3055,India,Mobile,58,Evening,245,1745.18,0,1,1,2,96,Stripe,82,1829,0
TXN00092,U1641,312.28,Transfer,1275,Brazil,Tablet,59,Evening,486,498.17,0,1,1,9,55,Razorpay,90,229,1
TXN00093,U2951,357.6,Deposit,339,Canada,Desktop,86,Evening,760,4732.58,1,1,0,9,17,PayPal,16,787,0
TXN00094,U0298,205.97,Refund,2666,Brazil,Mobile,79,Afternoon,868,413.01,1,1,1,4,37,PayPal,68,517,1
TXN00095,U2512,368.47,Transfer,3512,UK,Desktop,73,Night,372,3391.01,1,0,1,4,9,PayPal,68,682,1
TXN00096,U0390,170.2,Withdrawal,180,Australia,Tablet,92,Night,514,4541.42,0,1,0,7,25,Stripe,28,1713,1
TXN00097,U0875,184.92,Refund,622,Australia,Desktop,26,Evening,747,900.13,1,0,1,5,78,Square,33,1163,0
TXN00098,U1026,139.45,Refund,3300,Australia,Tablet,98,Morning,50,1189.4,1,1,0,1,58,Square,39,1552,0
TXN00099,U0167,6.44,Bill Payment,1657,France,Tablet,23,Afternoon,616,2136.4,0,1,0,5,95,PayPal,85,840,1
TXN00100,U2929,28.54,Deposit,2667,China,Mobile,86,Afternoon,98,1476.08,0,1,1,4,80,PayPal,29,1694,1
TXN00101,U1376,7.98,Refund,643,China,Desktop,66,Morning,322,3796.37,1,0,1,3,0,PayPal,27,398,1
TXN00102,U1396,252.93,Deposit,2071,China,Desktop,35,Evening,591,1694.08,1,0,1,1,14,Square,43,1228,1
TXN00103,U1367,94.35,Transfer,1681,France,Tablet,13,Evening,440,4929.25,1,1,1,9,89,Stripe,31,1590,1
TXN00104,U1337,177.61,Withdrawal,1351,USA,Desktop,67,Evening,403,4294.64,1,1,0,4,97,PayPal,36,413,1
TXN00105,U0713,595.32,Withdrawal,1178,China,Tablet,43,Morning,812,4477.24,0,0,0,3,67,Square,48,356,1
TXN00106,U0347,71.68,Refund,619,India,Mobile,47,Afternoon,901,323.0,1,0,1,8,90,Square,93,1988,1
TXN00107,U2940,132.07,Refund,1170,Germany,Desktop,31,Night,416,885.66,1,1,1,7,39,Stripe,97,1338,0
TXN00108,U2051,352.19,Transfer,252,USA,Tablet,83,Evening,682,851.0,0,1,1,6,6,Stripe,61,1583,1
TXN00109,U0104,64.95,Bill Payment,302,Brazil,Desktop,16,Morning,945,3361.46,0,1,0,6,35,Razorpay,31,874,1
TXN00110,U0592,20.03,Bill Payment,3142,Australia,Desktop,92,Morning,154,64.5,1,1,0,2,92,Razorpay,59,1183,1
